University,Common Name,State,Public/Private,Conference,Avg Resident Permit Price,Avg Commuter Permit Price,Avg Faculty Permit Price,Average Ticket Price,Mode Ticket Price,First Ticket Late Fee,Extras,Links,,,
Indiana University,Indiana,IN,Public,Big Ten,$240.72,$177.48,$378.23,$56.32,$50.00,Varies,"Note that faculty and staff parking is the minimum price. 
Faculty and staff parking varies by salary.
Ticket late fee is a 1.5% increase of the ticket","https://parking.indiana.edu/citations/citation-fines.html
https://parking.indiana.edu/permits/index.html",,,
University of Michigan,Michigan,MI,Public,Big Ten,$600.00,$141.33,$784.25,$47.29,$40.00,Varies,"Faculty parking can vary greatly. If tickets are paid by the next business day, the cost is often lower. This was factored into both the average and mode ticket price.","https://ltp.umich.edu/parking/permit-parking/annual-costs/ 
https://ltp.umich.edu/2020/01/07/parking-citation-rates-to-increase-starting-on-wednesday-january-1-2020/ ",,,
University of Nebraska,Nebraska,NE,Public,Big Ten,$405.00,$405.00,$432.00,$82.00,$50.00,They fucking tow your car??,"Does not include second and third offense tickets. Violation will be reduced to $7.00 if, within 30 calendar days of issuance, proof is presented to an employee at UNL Parking and Transit Services (during window hours), that a valid permit is registered to that vehicle and the vehicle was parked in an authorized location.
Failure to pay any portion of your parking tickets will result in your license plate number being placed on the impoundment list for towing. Unpaid parking tickets may also result in a student's grades or registration being held.","https://parking.unl.edu/facultystaff-city-campus-parking/ 
https://parking.unl.edu/commuter-city-campus-parking/ 
https://parking.unl.edu/resident-city-campus-parking/
https://parking.unl.edu/rules-regulations/violations-penalties/ ",,,
Ohio State University,Ohio State,OH,Public,Big Ten,$732.00,$467.21,$840.86,$155.00,$57.50,They also fucking tow your car??,,"chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://osu.campusparc.com/media/an1bidtx/py26-rate-table0731final.pdf
https://osu.campusparc.com/pay-a-citation/violation-policies/",,,
"University of California, Los Angeles",UCLA,CA,Public,Big Ten,$915.53,$648.06,$990.33,$175.88,$87.00,Doubles,,"https://transportation.ucla.edu/campus-parking/ucla-parking-rates-and-fees
https://transportation.ucla.edu/campus-parking/parking-enforcement",,,
University of Oregon,Oregon,OR,Public,Big Ten,$360.00,$415.50,$415.50,$106.00,$45.00,Doubles,I love you.,"https://transportation.uoregon.edu/fines-and-fees
https://transportation.uoregon.edu/residents 
https://transportation.uoregon.edu/zones",,,
University of Maryland,UMD,MD,Public,Big Ten,$736.00,$380.00,$730.00,$163.24,$85.00,$45.00,"Note that faculty and staff parking is the minimum price. 
Faculty and staff parking varies by salary.","https://transportation.umd.edu/parking/students/fees-and-permit-types
https://transportation.umd.edu/parking/faculty-staff/fees-and-permit-types 
https://transportation.umd.edu/citations-reviews",,,"Find averages for when there are multiple options, unless one option seems the most obvious. If payments are monthly, do them for 9 months."
University of Washington,UW,WA,Public,Big Ten,"$1,246.95","$1,246.95","$1,107.60",$105.00,$40.00,$25.00,Actively trying to raise late fee and ticket prices to match the City of Seattle.,"https://transportation.uw.edu/park/student-employee/student
chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://transportation.uw.edu/files/media/ProposedParkingCitationFineSchedule.pdf",,,
University of Iowa,Iowa,IA,Public,Big Ten,$498.00,$216.00,$656.57,$45.44,$30.00,$25.00,Student athletes are granted reduced parking permit costs.,"https://admissions.uiowa.edu/finances/billing-payment-options 
https://transportation.uiowa.edu/parking-rates#accordion-item-18456-2",,,
University of Wisconsin,Wisconsin,WI,Public,Big Ten,$761.00,$761.00,$882.50,$95.94,$40.00,$10.00,I hate you.,"https://transportation.wisc.edu/rates-and-policies/rates/#py26-rates
https://transportation.wisc.edu/rates-and-policies/rates/#citations-fines",,,
Michigan State University,Michigan State,MI,Public,Big Ten,$320.58,$107.00,$441.04,$58.33,$40.00,$10.00,,"https://parking.msu.edu/parking-violations/violation-policies
https://parking.msu.edu/students/permits",,,
University of Illinois,Illinois,IL,Public,Big Ten,$143.00,$143.00,$564.33,$57.62,$50.00,$10.00,"Note that faculty and staff parking is the minimum price. 
Faculty and staff parking varies by salary.","https://parking.illinois.edu/rates
https://parking.illinois.edu/citation-codes-and-fines",,,
Purdue University,Purdue,IN,Public,Big Ten,$150.00,$100.00,$175.00,$52.81,$35.00,$10.00,,"https://www.purdue.edu/parking/permits/west-lafayette/students/index.html
chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.purdue.edu/parking/documents/ParkingRegs.pdf",,,
Rutgers University,Rutgers,NJ,Public,Big Ten,$400.00,$338.00,$228.31,$68.75,$20.00,$5.00,,"https://ipo.rutgers.edu/parking/permits/calculator
https://ipo.rutgers.edu/parking/permits/students
https://ipo.rutgers.edu/parking/enforcement",,,
Pennsylvania State University,Penn State,PA,Public,Big Ten,$611.33,$146.00,$715.50,$65.67,$100.00,$3.00,Students receive an account hold for late ticket payments while professors are charged a $3 fee. Mode for ticket prices is $100 because of bumped event citation fees. Refer to the average of non-event fees.,"https://transportation.psu.edu/future-rates
https://transportation.psu.edu/parking-tickets",,,
University of Southern California,USC,CA,Private,Big Ten,$900.00,$900.00,"$1,055.45",$145.86,$65.00,,Late fee not listed.,"https://transnet.usc.edu/index.php/parking-rates/
https://transnet.usc.edu/index.php/parking-violations/",,,
Northwestern University,Northwestern,IL,Private,Big Ten,$540.00,$540.00,$528.00,$77.94,$32.50,,I love you.,"https://www.northwestern.edu/transportation-parking/evanston-parking/permits/student.html 
https://www.northwestern.edu/transportation-parking/evanston-parking/permits/faculty-staff.html 
https://www.northwestern.edu/transportation-parking/evanston-parking/tickets/violations-fees.html ",,,
University of Minnesota,Minnesota,MN,Public,Big Ten,$667.00,$667.00,"$1,047.00",,,,No site listed for tickets.,https://pts.umn.edu/park-and-drive/general-information/rates,,,